round,n_players,C_brier_1plus,C_brier_2plus,C_brier_3plus,A_brier_1plus,A_brier_2plus,A_brier_3plus,B_brier_1plus,B_brier_2plus,B_brier_3plus
1,184,0.1547,0.0846,0.0414,0.1544,0.0845,0.0409,0.1539,0.0847,0.041
2,414,0.1527,0.0955,0.0442,0.1516,0.0952,0.0439,0.1518,0.0951,0.0438
3,368,0.1482,0.0962,0.0466,0.1494,0.0965,0.0462,0.1489,0.0971,0.0463
4,368,0.1487,0.0742,0.0363,0.1484,0.0745,0.036,0.1488,0.0741,0.0361
5,414,0.1442,0.0767,0.0378,0.1442,0.0767,0.0376,0.1441,0.0771,0.0378
6,367,0.1432,0.0746,0.0393,0.1424,0.0745,0.0397,0.1427,0.0746,0.0394
7,368,0.1579,0.0862,0.0434,0.1578,0.0863,0.0435,0.1584,0.0857,0.0437
8,413,0.1521,0.0863,0.0389,0.1524,0.0865,0.0387,0.1527,0.0863,0.0388
9,414,0.1612,0.0815,0.0342,0.1606,0.0809,0.0335,0.1584,0.0807,0.0334
10,414,0.1545,0.0833,0.0373,0.1551,0.083,0.0371,0.1548,0.0835,0.0372
11,414,0.1488,0.0901,0.0441,0.1485,0.0896,0.0439,0.1486,0.0892,0.044
12,414,0.1522,0.0794,0.0361,0.1536,0.0799,0.0361,0.153,0.0795,0.0363
13,322,0.1833,0.0907,0.0549,0.1846,0.0913,0.0551,0.1835,0.0908,0.0547
14,368,0.1585,0.0858,0.0377,0.1584,0.0861,0.038,0.1577,0.0852,0.0376
15,276,0.1431,0.0914,0.0475,0.1437,0.0916,0.0476,0.1444,0.0915,0.0476
16,276,0.1763,0.097,0.0359,0.1758,0.0968,0.0362,0.1769,0.0971,0.0366
17,414,0.1568,0.0827,0.0337,0.1578,0.0822,0.0334,0.1583,0.0829,0.034
18,414,0.167,0.0932,0.0394,0.1669,0.093,0.0393,0.1678,0.0932,0.0394
19,413,0.1574,0.0855,0.0327,0.1562,0.0851,0.0324,0.1571,0.0853,0.0328
20,414,0.1592,0.0912,0.0526,0.1592,0.0915,0.0525,0.1603,0.0911,0.0524
21,412,0.158,0.0896,0.0357,0.1586,0.0897,0.0356,0.158,0.0894,0.0357
22,414,0.1538,0.0886,0.0399,0.1542,0.0885,0.0397,0.1538,0.0888,0.0399
23,414,0.1514,0.0894,0.0423,0.1507,0.0897,0.0424,0.1495,0.089,0.0421
24,414,0.1585,0.0997,0.0412,0.1593,0.0997,0.0413,0.1598,0.0994,0.0418
